Dataset,ROI,Analysis,p_value,pFDR,T_values,SE,N
UNIBA2_FI,rDefaultC_Rsp_1,standard,0.1144614,0.1544614,-1.585739123,0.081034767,195
UNIBA2_FI,rDefaultC_Rsp_1,corrected,0.1764875,0.2164875,-1.356833163,0.085198389,195
UNIBA2_FI,rDorsAttnA_ParOcc_1,standard,0.41082288,0.45082288,-0.824264389,0.081041958,195
UNIBA2_FI,rDorsAttnA_ParOcc_1,corrected,0.61079025,0.65079025,-0.509812821,0.085129283,195
UNIBA2_FI,rDorsAttnA_SPL_1,standard,0.52740135,0.56740135,-0.633143376,0.081024302,195
UNIBA2_FI,rDorsAttnA_SPL_1,corrected,0.63437606,0.67437606,-0.476365604,0.085228656,195
UNIBA2_FI,rDorsAttnA_TempOcc_1,standard,0.47399493,0.51399493,-0.717421848,0.080984431,195
UNIBA2_FI,rDorsAttnA_TempOcc_1,corrected,0.54802613,0.58802613,-0.601827,0.085240443,195
UNIBA2_FI,rDorsAttnB_FEF_1,standard,0.32667736,0.36667736,-0.983367062,0.081048067,195
UNIBA2_FI,rDorsAttnB_FEF_1,corrected,0.478499,0.518499,-0.710160224,0.085192043,195
UNIBA2_FI,rDorsAttnB_PostC_1,standard,0.70445477,0.74445477,-0.379885409,0.081077081,195
UNIBA2_FI,rDorsAttnB_PostC_1,corrected,0.94702769,0.98702769,-0.066530034,0.085675591,195
UNIBA2_FI,rDorsAttnB_PostC_2,standard,0.97419994,1.01419994,0.032383844,0.080286949,195
UNIBA2_FI,rDorsAttnB_PostC_2,corrected,0.65495381,0.69495381,0.447616316,0.085117541,195
UNIBA2_FI,rLimbicA_TempPole_1,standard,0.04269786,0.08269786,-2.040362917,0.081014999,195
UNIBA2_FI,rLimbicA_TempPole_1,corrected,0.10803477,0.14803477,-1.614908258,0.085206079,195
UNIBA2_FI,rLimbicB_OFC_1,standard,0.03939939,0.07939939,-2.074300028,0.080991177,195
UNIBA2_FI,rLimbicB_OFC_1,corrected,0.10516405,0.14516405,-1.628295336,0.085181107,195
UNIBA2_FI,rSalVentAttnA_FrMed_1,standard,0.12167574,0.16167574,-1.554724784,0.080978963,195
UNIBA2_FI,rSalVentAttnA_FrMed_1,corrected,0.30162084,0.34162084,-1.035857251,0.085243406,195
UNIBA2_FI,rSalVentAttnA_Ins_1,standard,0.00044899,0.04044899,-3.57195036,0.081020163,195
UNIBA2_FI,rSalVentAttnA_Ins_1,corrected,0.00095846,0.04095846,-3.356363774,0.085211264,195
UNIBA2_FI,rSalVentAttnA_ParMed_1,standard,0.02587716,0.06587716,-2.245668234,0.081000389,195
UNIBA2_FI,rSalVentAttnA_ParMed_1,corrected,0.09152191,0.13152191,-1.696242868,0.085188273,195
UNIBA2_FI,rSalVentAttnA_ParOper_1,standard,0.1174594,0.1574594,-1.572668181,0.081008824,195
UNIBA2_FI,rSalVentAttnA_ParOper_1,corrected,0.0995482,0.1395482,-1.655353423,0.085178185,195
UNIBA2_FI,rSalVentAttnB_IPL_1,standard,0.88824196,0.92824196,0.140717795,0.081013208,195
UNIBA2_FI,rSalVentAttnB_IPL_1,corrected,0.86270976,0.90270976,0.173166643,0.085466807,195
UNIBA2_FI,rSalVentAttnB_PFCl_1,standard,0.00548897,0.04548897,-2.809012367,0.081024919,195
UNIBA2_FI,rSalVentAttnB_PFCl_1,corrected,0.0074494,0.0474494,-2.7058775,0.085221892,195
UNIBA2_FI,rSalVentAttnB_PFCmp_1,standard,0.01225311,0.05225311,-2.528961173,0.08102141,195
UNIBA2_FI,rSalVentAttnB_PFCmp_1,corrected,0.03463185,0.07463185,-2.12834657,0.085183495,195
UNIBA2_FI,rSomMotA_1,standard,0.07312284,0.11312284,-1.802048836,0.081018892,195
UNIBA2_FI,rSomMotA_1,corrected,0.05511311,0.09511311,-1.930185893,0.085224952,195
UNIBA2_FI,rSomMotA_2,standard,0.20867774,0.24867774,-1.261493299,0.081015095,195
UNIBA2_FI,rSomMotA_2,corrected,0.32978,0.36978,-0.977131624,0.085147178,195
UNIBA2_FI,rSomMotA_3,standard,0.06134415,0.10134415,-1.882151914,0.081024278,195
UNIBA2_FI,rSomMotA_3,corrected,0.09525887,0.13525887,-1.676859407,0.085218832,195
UNIBA2_FI,rSomMotA_4,standard,0.04828308,0.08828308,-1.987682414,0.080998855,195
UNIBA2_FI,rSomMotA_4,corrected,0.16529929,0.20529929,-1.392973915,0.085213369,195
UNIBA2_FI,rSomMotB_Aud_1,standard,0.16928172,0.20928172,-1.37976125,0.081028511,195
UNIBA2_FI,rSomMotB_Aud_1,corrected,0.14679136,0.18679136,-1.457073465,0.085170723,195
UNIBA2_FI,rSomMotB_Cent_1,standard,0.01140369,0.05140369,-2.554946281,0.081019316,195
UNIBA2_FI,rSomMotB_Cent_1,corrected,0.0189036,0.0589036,-2.36825359,0.085210469,195
UNIBA2_FI,rSomMotB_S2_1,standard,0.25788218,0.29788218,-1.134815641,0.080982317,195
UNIBA2_FI,rSomMotB_S2_1,corrected,0.34983231,0.38983231,-0.937288221,0.085245923,195
UNIBA2_FI,rSomMotB_S2_2,standard,0.05596306,0.09596306,-1.923096431,0.081015178,195
UNIBA2_FI,rSomMotB_S2_2,corrected,0.09265293,0.13265293,-1.690309772,0.085191485,195
UNIBA2_FI,rTempPar_1,standard,0.00617623,0.04617623,-2.769216197,0.08103376,195
UNIBA2_FI,rTempPar_1,corrected,0.00711774,0.04711774,-2.721578336,0.085207909,195
UNIBA2_FI,rTempPar_2,standard,0.00320128,0.04320128,-2.985744504,0.081018319,195
UNIBA2_FI,rTempPar_2,corrected,0.00692407,0.04692407,-2.731055661,0.085205147,195
UNIBA2_FI,rTempPar_3,standard,0.39179588,0.43179588,-0.858322521,0.080971894,195
UNIBA2_FI,rTempPar_3,corrected,0.40701248,0.44701248,-0.831057437,0.085192668,195
UNIBA2_FI,rVisCent_ExStr_1,standard,0.08229655,0.12229655,-1.746750534,0.081007561,195
UNIBA2_FI,rVisCent_ExStr_1,corrected,0.15180397,0.19180397,-1.439128303,0.085190459,195
UNIBA2_FI,rVisCent_ExStr_2,standard,0.13003448,0.17003448,-1.52055288,0.08102316,195
UNIBA2_FI,rVisCent_ExStr_2,corrected,0.24035492,0.28035492,-1.177886306,0.085237429,195
UNIBA2_FI,rVisCent_ExStr_3,standard,0.00373077,0.04373077,-2.936395711,0.081017691,195
UNIBA2_FI,rVisCent_ExStr_3,corrected,0.01158662,0.05158662,-2.549881678,0.085219641,195
UNIBA2_FI,rVisPeri_ExStrInf_1,standard,0.07272755,0.11272755,-1.804557247,0.081017103,195
UNIBA2_FI,rVisPeri_ExStrInf_1,corrected,0.09252637,0.13252637,-1.690970756,0.085217322,195
UNIBA2_FI,rVisPeri_ExStrSup_1,standard,0.00751121,0.04751121,-2.702231108,0.081007135,195
UNIBA2_FI,rVisPeri_ExStrSup_1,corrected,0.01393649,0.05393649,-2.482522363,0.085195607,195
UNIBA2_FI,rVisPeri_StriCal_1,standard,0.0157468,0.0557468,-2.436622329,0.081013786,195
UNIBA2_FI,rVisPeri_StriCal_1,corrected,0.04484479,0.08484479,-2.019819567,0.085205631,195
