Dataset,ROI,Analysis,p_value,pFDR,T_values,SE,N
UNIBA2_RS,lSalVentAttnB_PFCl_1,standard,0.02076208,0.06076208,-2.325225194,0.064423868,290
UNIBA2_RS,lSalVentAttnB_PFCl_1,corrected,0.07281103,0.11281103,-1.800795965,0.068303129,290
UNIBA2_RS,lSalVentAttnB_PFCmp_1,standard,0.00032843,0.04032843,-3.63605864,0.064410402,290
UNIBA2_RS,lSalVentAttnB_PFCmp_1,corrected,0.0041299,0.0441299,-2.891871967,0.068294863,290
UNIBA2_RS,lSomMotA_1,standard,0.49899085,0.53899085,-0.67694354,0.064407144,290
UNIBA2_RS,lSomMotA_1,corrected,0.52879396,0.56879396,-0.630634425,0.068343874,290
UNIBA2_RS,lSomMotA_2,standard,0.05394108,0.09394108,-1.935312482,0.064382368,290
UNIBA2_RS,lSomMotA_2,corrected,0.08551834,0.12551834,-1.725623981,0.068265162,290
UNIBA2_RS,lSomMotB_Aud_1,standard,0.01310042,0.05310042,-2.49669347,0.064405183,290
UNIBA2_RS,lSomMotB_Aud_1,corrected,0.03763428,0.07763428,-2.088738837,0.068270862,290
UNIBA2_RS,lSomMotB_Cent_1,standard,0.08469632,0.12469632,-1.730092436,0.064389623,290
UNIBA2_RS,lSomMotB_Cent_1,corrected,0.29054818,0.33054818,-1.058921478,0.068277017,290
UNIBA2_RS,lSomMotB_S2_1,standard,0.11945012,0.15945012,-1.561777455,0.064413787,290
UNIBA2_RS,lSomMotB_S2_1,corrected,0.29470158,0.33470158,-1.049829924,0.068296777,290
UNIBA2_RS,lSomMotB_S2_2,standard,0.18891681,0.22891681,-1.316939524,0.064391719,290
UNIBA2_RS,lSomMotB_S2_2,corrected,0.51081037,0.55081037,-0.658418335,0.068345606,290
UNIBA2_RS,lTempPar_1,standard,0.5209299,0.5609299,-0.64270861,0.064414883,290
UNIBA2_RS,lTempPar_1,corrected,0.56723216,0.60723216,-0.572811291,0.068259828,290
UNIBA2_RS,lVisCent_ExStr_1,standard,0.25078745,0.29078745,-1.150779748,0.064391123,290
UNIBA2_RS,lVisCent_ExStr_1,corrected,0.43857881,0.47857881,-0.775703389,0.068325085,290
UNIBA2_RS,lVisCent_ExStr_2,standard,0.24118581,0.28118581,-1.174473528,0.064369267,290
UNIBA2_RS,lVisCent_ExStr_2,corrected,0.36302439,0.40302439,-0.911103784,0.068268842,290
UNIBA2_RS,lVisCent_ExStr_3,standard,0.00761456,0.04761456,-2.687839926,0.064401157,290
UNIBA2_RS,lVisCent_ExStr_3,corrected,0.01751013,0.05751013,-2.38999216,0.068284743,290
UNIBA2_RS,lVisCent_Striate_1,standard,0.02338496,0.06338496,-2.279359451,0.064404059,290
UNIBA2_RS,lVisCent_Striate_1,corrected,0.13887054,0.17887054,-1.484238321,0.068250495,290
UNIBA2_RS,lVisPeri_ExStrInf_1,standard,0.01993322,0.05993322,-2.340776831,0.064423057,290
UNIBA2_RS,lVisPeri_ExStrInf_1,corrected,0.06084343,0.10084343,-1.882217613,0.068270533,290
UNIBA2_RS,lVisPeri_ExStrSup_1,standard,0.01096436,0.05096436,-2.560607422,0.064398782,290
UNIBA2_RS,lVisPeri_ExStrSup_1,corrected,0.02647211,0.06647211,-2.231014854,0.068264897,290
UNIBA2_RS,lVisPeri_StriCal_1,standard,0.0363878,0.0763878,-2.10248609,0.06439995,290
UNIBA2_RS,lVisPeri_StriCal_1,corrected,0.05616602,0.09616602,-1.917701762,0.068258789,290
UNIBA2_RS,rContA_IPS_1,standard,0.51024505,0.55024505,-0.659285109,0.064463765,290
UNIBA2_RS,rContA_IPS_1,corrected,0.70258826,0.74258826,-0.382219826,0.068285312,290
UNIBA2_RS,rContA_PFCl_1,standard,0.00823433,0.04823433,-2.660929697,0.064413577,290
UNIBA2_RS,rContA_PFCl_1,corrected,0.05509115,0.09509115,-1.926203779,0.068268997,290
UNIBA2_RS,rContA_PFCl_2,standard,0.0302422,0.0702422,-2.177782121,0.064423341,290
UNIBA2_RS,rContA_PFCl_2,corrected,0.17931182,0.21931182,-1.346246725,0.068263862,290
UNIBA2_RS,rContB_IPL_1,standard,0.23041435,0.27041435,-1.201862911,0.064400024,290
UNIBA2_RS,rContB_IPL_1,corrected,0.36617057,0.40617057,-0.905137767,0.068276899,290
UNIBA2_RS,rContB_PFCld_1,standard,0.65723363,0.69723363,-0.444202016,0.06438512,290
UNIBA2_RS,rContB_PFCld_1,corrected,0.88235921,0.92235921,-0.14811425,0.068190603,290
UNIBA2_RS,rContB_PFClv_1,standard,0.01596541,0.05596541,-2.424175212,0.064393035,290
UNIBA2_RS,rContB_PFClv_1,corrected,0.14882554,0.18882554,-1.44767912,0.068247168,290
UNIBA2_RS,rContB_Temp_1,standard,0.10664227,0.14664227,-1.618586878,0.064377144,290
UNIBA2_RS,rContB_Temp_1,corrected,0.28291354,0.32291354,-1.075865536,0.068317088,290
UNIBA2_RS,rContC_Cingp_1,standard,0.90827094,0.94827094,-0.115322215,0.064168036,290
UNIBA2_RS,rContC_Cingp_1,corrected,0.51612022,0.55612022,0.650162685,0.0682906,290
UNIBA2_RS,rContC_pCun_1,standard,0.90701592,0.94701592,0.116907216,0.06415344,290
UNIBA2_RS,rContC_pCun_1,corrected,0.78732363,0.82732363,0.270046207,0.068136487,290
UNIBA2_RS,rDefaultA_IPL_1,standard,0.05248691,0.09248691,-1.947248874,0.064398548,290
UNIBA2_RS,rDefaultA_IPL_1,corrected,0.15203883,0.19203883,-1.436280586,0.068301418,290
UNIBA2_RS,rDefaultA_pCunPCC_1,standard,0.95952377,0.99952377,0.050795862,0.064965921,290
