Dataset,ROI,Analysis,p_value,pFDR,T_values,SE,N
UCLA_REST_BD_adj,lSalVentAttnA_ParOper_1,standard,0.080174349,0.997912684,-1.76084929,0.178803103,165
UCLA_REST_BD_adj,lSalVentAttnA_ParOper_1,corrected,0.140037847,0.997912684,-1.483252442,0.183951355,165
UCLA_REST_BD_adj,lSalVentAttnB_PFCl_1,standard,0.717299658,0.997912684,0.362710745,0.17879791,165
UCLA_REST_BD_adj,lSalVentAttnB_PFCl_1,corrected,0.878041562,0.997912684,0.153705908,0.183947171,165
UCLA_REST_BD_adj,lSalVentAttnB_PFCmp_1,standard,0.888370016,0.997912684,-0.14059085,0.178797716,165
UCLA_REST_BD_adj,lSalVentAttnB_PFCmp_1,corrected,0.894370999,0.997912684,-0.132993531,0.183947165,165
UCLA_REST_BD_adj,lSomMotA_1,standard,0.096748257,0.997912684,-1.670637578,0.178802564,165
UCLA_REST_BD_adj,lSomMotA_1,corrected,0.090976008,0.997912684,-1.700852679,0.183952679,165
UCLA_REST_BD_adj,lSomMotA_2,standard,0.968166134,0.997912684,0.03997093,0.17879769,165
UCLA_REST_BD_adj,lSomMotA_2,corrected,0.985487525,0.997912684,-0.018219065,0.183947095,165
UCLA_REST_BD_adj,lSomMotB_Aud_1,standard,0.875735832,0.997912684,-0.156627571,0.178797722,165
UCLA_REST_BD_adj,lSomMotB_Aud_1,corrected,0.904823793,0.997912684,-0.119765769,0.183947159,165
UCLA_REST_BD_adj,lSomMotB_Cent_1,standard,0.928465686,0.997912684,0.089916932,0.178797693,165
UCLA_REST_BD_adj,lSomMotB_Cent_1,corrected,0.931962625,0.997912684,0.08551463,0.183947145,165
UCLA_REST_BD_adj,lSomMotB_S2_1,standard,0.994382071,0.997912684,0.007052099,0.178797694,165
UCLA_REST_BD_adj,lSomMotB_S2_1,corrected,0.89177348,0.997912684,0.136284175,0.183947161,165
UCLA_REST_BD_adj,lSomMotB_S2_2,standard,0.712803741,0.997912684,-0.368747059,0.178797917,165
UCLA_REST_BD_adj,lSomMotB_S2_2,corrected,0.819294387,0.997912684,-0.2288407,0.18394723,165
UCLA_REST_BD_adj,lTempPar_1,standard,0.038967105,0.997912684,2.081646358,0.17880524,165
UCLA_REST_BD_adj,lTempPar_1,corrected,0.060456222,0.997912684,1.891252922,0.18395398,165
UCLA_REST_BD_adj,lVisCent_ExStr_1,standard,0.432151636,0.997912684,-0.787504493,0.178798769,165
UCLA_REST_BD_adj,lVisCent_ExStr_1,corrected,0.551600994,0.997912684,-0.59666582,0.183947814,165
UCLA_REST_BD_adj,lVisCent_ExStr_2,standard,0.343648704,0.997912684,-0.94979534,0.178799263,165
UCLA_REST_BD_adj,lVisCent_ExStr_2,corrected,0.364393497,0.997912684,-0.909699347,0.183948722,165
UCLA_REST_BD_adj,lVisCent_ExStr_3,standard,0.51017624,0.997912684,-0.660041499,0.178798444,165
UCLA_REST_BD_adj,lVisCent_ExStr_3,corrected,0.443999635,0.997912684,-0.767419381,0.183948263,165
UCLA_REST_BD_adj,lVisCent_Striate_1,standard,0.637425319,0.997912684,-0.472202961,0.17879807,165
UCLA_REST_BD_adj,lVisCent_Striate_1,corrected,0.628516448,0.997912684,-0.484780495,0.18394758,165
UCLA_REST_BD_adj,lVisPeri_ExStrInf_1,standard,0.268741378,0.997912684,1.109821002,0.178799841,165
UCLA_REST_BD_adj,lVisPeri_ExStrInf_1,corrected,0.32261818,0.997912684,0.992257973,0.183949024,165
UCLA_REST_BD_adj,lVisPeri_ExStrSup_1,standard,0.450572144,0.997912684,-0.756315593,0.178798684,165
UCLA_REST_BD_adj,lVisPeri_ExStrSup_1,corrected,0.371983728,0.997912684,-0.895358651,0.183948672,165
UCLA_REST_BD_adj,lVisPeri_StriCal_1,standard,0.987561468,0.997912684,-0.015614404,0.17879767,165
UCLA_REST_BD_adj,lVisPeri_StriCal_1,corrected,0.982053079,0.997912684,0.022531357,0.183947113,165
UCLA_REST_BD_adj,rContA_IPS_1,standard,0.565127962,0.997912684,-0.576439828,0.178798263,165
UCLA_REST_BD_adj,rContA_IPS_1,corrected,0.504317424,0.997912684,-0.669272362,0.183947992,165
UCLA_REST_BD_adj,rContA_PFCl_1,standard,0.530669972,0.997912684,-0.628350961,0.178798372,165
UCLA_REST_BD_adj,rContA_PFCl_1,corrected,0.562238649,0.997912684,-0.580770432,0.183947779,165
UCLA_REST_BD_adj,rContA_PFCl_2,standard,0.864278171,0.997912684,0.171205932,0.17879773,165
UCLA_REST_BD_adj,rContA_PFCl_2,corrected,0.873701098,0.997912684,0.159222197,0.183947173,165
UCLA_REST_BD_adj,rContB_IPL_1,standard,0.536613713,0.997912684,-0.619278483,0.178798353,165
UCLA_REST_BD_adj,rContB_IPL_1,corrected,0.47978388,0.997912684,-0.708362857,0.183948095,165
UCLA_REST_BD_adj,rContB_PFCld_1,standard,0.820060436,0.997912684,-0.227841406,0.178797768,165
UCLA_REST_BD_adj,rContB_PFCld_1,corrected,0.809579245,0.997912684,-0.241380506,0.183947241,165
UCLA_REST_BD_adj,rContB_PFClv_1,standard,0.8862596,0.997912684,-0.143266985,0.178797718,165
UCLA_REST_BD_adj,rContB_PFClv_1,corrected,0.941813364,0.997912684,-0.073109345,0.183947141,165
UCLA_REST_BD_adj,rContB_Temp_1,standard,0.038391722,0.997912684,-2.087893796,0.178805285,165
UCLA_REST_BD_adj,rContB_Temp_1,corrected,0.03019961,0.997912684,-2.187560128,0.183956273,165
UCLA_REST_BD_adj,rContC_Cingp_1,standard,0.981505027,0.997912684,0.023218357,0.178797664,165
UCLA_REST_BD_adj,rContC_Cingp_1,corrected,0.947456458,0.997912684,0.066008075,0.18394713,165
UCLA_REST_BD_adj,rContC_pCun_1,standard,0.902220947,0.997912684,-0.12305125,0.178797704,165
UCLA_REST_BD_adj,rContC_pCun_1,corrected,0.959789072,0.997912684,-0.050499869,0.183947129,165
UCLA_REST_BD_adj,rDefaultA_IPL_1,standard,0.676977387,0.997912684,-0.417356175,0.178797985,165
UCLA_REST_BD_adj,rDefaultA_IPL_1,corrected,0.638687542,0.997912684,-0.470460272,0.183947555,165
UCLA_REST_BD_adj,rDefaultA_pCunPCC_1,standard,0.820878282,0.997912684,0.22678775,0.17879777,165
UCLA_REST_BD_adj,rDefaultA_pCunPCC_1,corrected,0.954832019,0.997912684,0.056731661,0.183947126,165
UCLA_REST_BD_adj,rDefaultA_PFCd_1,standard,0.846533763,0.997912684,0.193856983,0.178797742,165
