Dataset,ROI,Analysis,p_value,pFDR,T_values,SE,N
UCLA_SCAP_BD_adj,lVisCent_ExStr_3,standard,0.51017624,0.997912684,-0.660041499,0.178798444,165
UCLA_SCAP_BD_adj,lVisCent_ExStr_3,corrected,0.57211389,0.997912684,-0.566145126,0.186676805,165
UCLA_SCAP_BD_adj,lVisCent_Striate_1,standard,0.637425319,0.997912684,-0.472202961,0.17879807,165
UCLA_SCAP_BD_adj,lVisCent_Striate_1,corrected,0.673207067,0.997912684,-0.422552934,0.186676526,165
UCLA_SCAP_BD_adj,lVisPeri_ExStrInf_1,standard,0.268741378,0.997912684,1.109821002,0.178799841,165
UCLA_SCAP_BD_adj,lVisPeri_ExStrInf_1,corrected,0.221654202,0.997912684,1.227076936,0.186679119,165
UCLA_SCAP_BD_adj,lVisPeri_ExStrSup_1,standard,0.450572144,0.997912684,-0.756315593,0.178798684,165
UCLA_SCAP_BD_adj,lVisPeri_ExStrSup_1,corrected,0.552050989,0.997912684,-0.595990365,0.186676874,165
UCLA_SCAP_BD_adj,lVisPeri_StriCal_1,standard,0.987561468,0.997912684,-0.015614404,0.17879767,165
UCLA_SCAP_BD_adj,lVisPeri_StriCal_1,corrected,0.9619578,0.997912684,-0.047774074,0.186676189,165
UCLA_SCAP_BD_adj,rContA_IPS_1,standard,0.565127962,0.997912684,-0.576439828,0.178798263,165
UCLA_SCAP_BD_adj,rContA_IPS_1,corrected,0.628244206,0.997912684,-0.485165157,0.186676639,165
UCLA_SCAP_BD_adj,rContA_PFCl_1,standard,0.530669972,0.997912684,-0.628350961,0.178798372,165
UCLA_SCAP_BD_adj,rContA_PFCl_1,corrected,0.848955839,0.997912684,-0.190769484,0.18667625,165
UCLA_SCAP_BD_adj,rContA_PFCl_2,standard,0.864278171,0.997912684,0.171205932,0.17879773,165
UCLA_SCAP_BD_adj,rContA_PFCl_2,corrected,0.626011125,0.997912684,0.488323097,0.186676644,165
UCLA_SCAP_BD_adj,rContB_IPL_1,standard,0.536613713,0.997912684,-0.619278483,0.178798353,165
UCLA_SCAP_BD_adj,rContB_IPL_1,corrected,0.772262149,0.997912684,-0.289923629,0.186676343,165
UCLA_SCAP_BD_adj,rContB_PFCld_1,standard,0.820060436,0.997912684,-0.227841406,0.178797768,165
UCLA_SCAP_BD_adj,rContB_PFCld_1,corrected,0.960161338,0.997912684,-0.050031955,0.186676173,165
UCLA_SCAP_BD_adj,rContB_PFClv_1,standard,0.8862596,0.997912684,-0.143266985,0.178797718,165
UCLA_SCAP_BD_adj,rContB_PFClv_1,corrected,0.820220563,0.997912684,0.227647159,0.186676281,165
UCLA_SCAP_BD_adj,rContB_Temp_1,standard,0.038391722,0.997912684,-2.087893796,0.178805285,165
UCLA_SCAP_BD_adj,rContB_Temp_1,corrected,0.03577614,0.997912684,-2.117930842,0.186684883,165
UCLA_SCAP_BD_adj,rContC_Cingp_1,standard,0.981505027,0.997912684,0.023218357,0.178797664,165
UCLA_SCAP_BD_adj,rContC_Cingp_1,corrected,0.765801492,0.997912684,0.298394809,0.186676351,165
UCLA_SCAP_BD_adj,rContC_pCun_1,standard,0.902220947,0.997912684,-0.12305125,0.178797704,165
UCLA_SCAP_BD_adj,rContC_pCun_1,corrected,0.938496012,0.997912684,0.07728561,0.186676187,165
UCLA_SCAP_BD_adj,rDefaultA_IPL_1,standard,0.676977387,0.997912684,-0.417356175,0.178797985,165
UCLA_SCAP_BD_adj,rDefaultA_IPL_1,corrected,0.915593473,0.997912684,-0.106158994,0.186676194,165
UCLA_SCAP_BD_adj,rDefaultA_pCunPCC_1,standard,0.820878282,0.997912684,0.22678775,0.17879777,165
UCLA_SCAP_BD_adj,rDefaultA_pCunPCC_1,corrected,0.876388845,0.997912684,0.155805779,0.186676227,165
UCLA_SCAP_BD_adj,rDefaultA_PFCd_1,standard,0.846533763,0.997912684,0.193856983,0.178797742,165
UCLA_SCAP_BD_adj,rDefaultA_PFCd_1,corrected,0.586154494,0.997912684,0.545557359,0.18667676,165
UCLA_SCAP_BD_adj,rDefaultA_PFCm_1,standard,0.389350226,0.997912684,0.863144096,0.178798988,165
UCLA_SCAP_BD_adj,rDefaultA_PFCm_1,corrected,0.168008085,0.997912684,1.385113227,0.186679921,165
UCLA_SCAP_BD_adj,rDefaultB_PFCd_1,standard,0.666625597,0.997912684,0.43158286,0.178798007,165
UCLA_SCAP_BD_adj,rDefaultB_PFCd_1,corrected,0.516337986,0.997912684,0.650491271,0.186677006,165
UCLA_SCAP_BD_adj,rDefaultB_PFCv_1,standard,0.293717861,0.997912684,-1.053461401,0.178799627,165
UCLA_SCAP_BD_adj,rDefaultB_PFCv_1,corrected,0.484113431,0.997912684,-0.701386714,0.18667714,165
UCLA_SCAP_BD_adj,rDefaultB_PFCv_2,standard,0.724173141,0.997912684,0.353507796,0.178797898,165
UCLA_SCAP_BD_adj,rDefaultB_PFCv_2,corrected,0.698531933,0.997912684,0.388022271,0.186676473,165
UCLA_SCAP_BD_adj,rDefaultC_PHC_1,standard,0.347142211,0.997912684,0.942922345,0.17879924,165
UCLA_SCAP_BD_adj,rDefaultC_PHC_1,corrected,0.464560714,0.997912684,0.733172351,0.186677229,165
UCLA_SCAP_BD_adj,rDefaultC_Rsp_1,standard,0.992552291,0.997912684,0.009349052,0.178797697,165
UCLA_SCAP_BD_adj,rDefaultC_Rsp_1,corrected,0.742202,0.997912684,0.329527361,0.186676389,165
UCLA_SCAP_BD_adj,rDorsAttnA_ParOcc_1,standard,0.570851345,0.997912684,-0.567970255,0.178798245,165
UCLA_SCAP_BD_adj,rDorsAttnA_ParOcc_1,corrected,0.599196778,0.997912684,-0.526639517,0.186676721,165
UCLA_SCAP_BD_adj,rDorsAttnA_SPL_1,standard,0.165032209,0.997912684,1.394724664,0.178801089,165
UCLA_SCAP_BD_adj,rDorsAttnA_SPL_1,corrected,0.088977557,0.997912684,1.711562306,0.186681882,165
UCLA_SCAP_BD_adj,rDorsAttnA_TempOcc_1,standard,0.331924183,0.997912684,-0.973197441,0.178799343,165
UCLA_SCAP_BD_adj,rDorsAttnA_TempOcc_1,corrected,0.308923895,0.997912684,-1.020833721,0.186678215,165
UCLA_SCAP_BD_adj,rDorsAttnB_FEF_1,standard,0.370774336,0.997912684,-0.897549539,0.178799095,165
UCLA_SCAP_BD_adj,rDorsAttnB_FEF_1,corrected,0.438567928,0.997912684,-0.776617627,0.186677358,165
UCLA_SCAP_BD_adj,rDorsAttnB_PostC_1,standard,0.810385866,0.997912684,-0.240325119,0.178797781,165
UCLA_SCAP_BD_adj,rDorsAttnB_PostC_1,corrected,0.928315028,0.997912684,-0.0901114,0.186676191,165
UCLA_SCAP_BD_adj,rDorsAttnB_PostC_2,standard,0.175984898,0.997912684,-1.359234872,0.178800919,165
UCLA_SCAP_BD_adj,rDorsAttnB_PostC_2,corrected,0.253822743,0.997912684,-1.145366507,0.186678741,165
UCLA_SCAP_BD_adj,rLimbicA_TempPole_1,standard,0.421301584,0.997912684,-0.806239305,0.178798821,165
UCLA_SCAP_BD_adj,rLimbicA_TempPole_1,corrected,0.542607172,0.997912684,-0.610223858,0.186676906,165
UCLA_SCAP_BD_adj,rLimbicB_OFC_1,standard,0.331493401,0.997912684,-0.974067439,0.178799345,165
UCLA_SCAP_BD_adj,rLimbicB_OFC_1,corrected,0.574295716,0.997912684,-0.562930273,0.186676798,165
UCLA_SCAP_BD_adj,rSalVentAttnA_FrMed_1,standard,0.07759862,0.997912684,-1.776211438,0.178803197,165
UCLA_SCAP_BD_adj,rSalVentAttnA_FrMed_1,corrected,0.096547953,0.997912684,-1.671968946,0.186681622,165
UCLA_SCAP_BD_adj,rSalVentAttnA_Ins_1,standard,0.456460578,0.997912684,-0.746500541,0.178798658,165
UCLA_SCAP_BD_adj,rSalVentAttnA_Ins_1,corrected,0.686154044,0.997912684,-0.404838954,0.1866765,165
UCLA_SCAP_BD_adj,rSalVentAttnA_ParMed_1,standard,0.081140254,0.997912684,-1.755192759,0.178803068,165
UCLA_SCAP_BD_adj,rSalVentAttnA_ParMed_1,corrected,0.062053428,0.997912684,-1.879498493,0.186683047,165
UCLA_SCAP_BD_adj,rSalVentAttnA_ParOper_1,standard,0.669269078,0.997912684,0.427941627,0.178798,165
UCLA_SCAP_BD_adj,rSalVentAttnA_ParOper_1,corrected,0.504232765,0.997912684,0.66940547,0.186677055,165
UCLA_SCAP_BD_adj,rSalVentAttnB_IPL_1,standard,0.275811449,0.997912684,1.093514787,0.178799778,165
