,ROI,zval,ci.lb,ci.ub,pval,QE,QEp
25,lDorsAttnB_PostC_2,-5.960349672,-0.156653677,-0.079122514,2.52E-09,1.202536959,0.999601741
26,lDorsAttnB_PostC_3,-1.925935681,-0.100477002,0.000879864,0.054112405,6.62734184,0.760095233
27,lLimbicA_TempPole_1,-6.348406581,-0.164754145,-0.087022371,2.18E-10,4.028966369,0.946030796
28,lLimbicA_TempPole_2,-5.15698207,-0.140126657,-0.062946586,2.51E-07,4.114899143,0.942014831
29,lLimbicB_OFC_1,-7.05858824,-0.175378489,-0.099149952,1.68E-12,3.634206777,0.962343794
30,lSalVentAttnA_FrMed_1,-5.707777155,-0.151151888,-0.07387952,1.14E-08,5.562698965,0.850569
31,lSalVentAttnA_Ins_1,-9.543648911,-0.224340227,-0.147894893,1.38E-21,5.69434551,0.84025607
32,lSalVentAttnA_Ins_2,-11.41422412,-0.262979952,-0.185901444,3.55E-30,3.683005836,0.960516287
33,lSalVentAttnA_ParMed_1,-4.470875226,-0.120979634,-0.047236311,7.79E-06,3.671691133,0.960944732
34,lSalVentAttnA_ParOper_1,-3.792660532,-0.154831553,-0.049326921,0.000149042,9.283257888,0.505448999
35,lSalVentAttnB_PFCl_1,-7.254514615,-0.212947471,-0.122357565,4.03E-13,5.720570493,0.838167904
36,lSalVentAttnB_PFCmp_1,-9.264445918,-0.219062558,-0.142558808,1.96E-20,5.03614624,0.888750361
37,lSomMotA_1,-4.67572672,-0.143144283,-0.058584091,2.93E-06,4.883068815,0.89885091
38,lSomMotA_2,-2.092408374,-0.159430521,-0.005210695,0.036402,14.03248841,0.171514863
39,lSomMotB_Aud_1,-5.918354327,-0.160158244,-0.080470073,3.25E-09,4.508361373,0.92151458
40,lSomMotB_Cent_1,-5.782133199,-0.148451343,-0.073288431,7.38E-09,2.556187808,0.990031383
41,lSomMotB_S2_1,-7.876468117,-0.192072163,-0.115529262,3.37E-15,5.044290124,0.888199809
