"","ROI","zval","ci.lb","ci.ub","pval","QE","QEp"
"19","lDefaultC_Rsp_1",-1.76021973841052,-0.123726701144999,0.00664313874979849,0.0783705565329964,1.64160240912925,0.896173162385452
"20","lDorsAttnA_ParOcc_1",-0.80166777841852,-0.0920273830022191,0.0385985452588245,0.42274515930639,1.45937215572658,0.917710099406295
"21","lDorsAttnA_SPL_1",-2.32537128695592,-0.142436527003882,-0.0121454550928996,0.0200521154450798,0.990453711989494,0.963332066292244
"22","lDorsAttnA_TempOcc_1",-2.17319218670002,-0.13744861931904,-0.00709093021713113,0.0297658556012335,2.72977786134971,0.741560414044757
"23","lDorsAttnB_FEF_1",-2.69333819608643,-0.154716974675853,-0.0243838536401408,0.0070740472228329,0.789267904978541,0.977712814072595
"24","lDorsAttnB_PostC_1",-1.67305712366604,-0.120841521777863,0.00954309392758934,0.0943160511364693,0.993976746256499,0.963050125705235
"25","lDorsAttnB_PostC_2",-2.13073074180669,-0.136006026456585,-0.00567759504446144,0.0331113309416578,1.76659249458275,0.880405736321665
"26","lDorsAttnB_PostC_3",-0.0391921125247664,-0.0664539138578279,0.0638483451646668,0.968737222100174,3.55331819737692,0.6153357109245
"27","lLimbicA_TempPole_1",-4.13953127422984,-0.225943113351455,-0.0807375361893174,3.4801615689673e-05,4.23106828639783,0.516649928145094
"28","lLimbicA_TempPole_2",-3.67189214640678,-0.18731381176876,-0.0569382068749033,0.000240761292709855,2.74566194319693,0.739126275908966
"29","lLimbicB_OFC_1",-4.50391822404006,-0.2149915601882,-0.0846130349144517,6.67118860213556e-06,0.992961507447687,0.963131476068388
"30","lSalVentAttnA_FrMed_1",-1.56942196310121,-0.117381460437601,0.0129887729817083,0.116549649734978,0.827516467720815,0.975245156808739
"31","lSalVentAttnA_Ins_1",-3.25236107597536,-0.173338794607217,-0.0429793904605628,0.0011445052882434,1.55197598087096,0.906994986205398
"32","lSalVentAttnA_Ins_2",-5.67549582745006,-0.25397497246178,-0.123588116592808,1.38287514635793e-08,2.7561960756922,0.737510989183945
"33","lSalVentAttnA_ParMed_1",-3.70183567352082,-0.188281304117261,-0.0579253758545315,0.000214045236175902,0.475823270628378,0.992981818158341
"34","lSalVentAttnA_ParOper_1",-3.79283331210329,-0.191306561916697,-0.0609512053733029,0.00014893813735345,1.91774946548378,0.860404924394251
"35","lSalVentAttnB_PFCl_1",-3.99306515509293,-0.197991176862181,-0.0676187003281592,6.52246365942294e-05,2.37332761127634,0.795439428861982
"36","lSalVentAttnB_PFCmp_1",-5.68990179432195,-0.254428438572712,-0.124054758651897,1.27112455008552e-08,3.73496998165513,0.588168618529676
"37","lSomMotA_1",-2.90995207373297,-0.161926663860354,-0.0315874853178951,0.00361484182909276,2.66926253133746,0.750815432536204
"38","lSomMotA_2",-2.63766632717422,-0.152890353564998,-0.0225364250172894,0.0083478676520164,2.71741318461894,0.743453906981148
"39","lSomMotB_Aud_1",-4.25783134104216,-0.206778127623552,-0.0764175539117309,2.06419582786665e-05,1.26014234673403,0.938979063437602
"40","lSomMotB_Cent_1",-2.46824084396399,-0.147247862273704,-0.0169013593299952,0.0135778929840398,1.80884938292668,0.874911266468692
"41","lSomMotB_S2_1",-3.44858910735628,-0.179866179043122,-0.0495055347186531,0.000563523501658818,1.23412214782773,0.941562222177191
"42","lSomMotB_S2_2",-3.26281065991079,-0.173681427975056,-0.0433256815419685,0.00110313193730093,1.21318992396424,0.94360572818683
"43","lTempPar_1",-0.99582524800787,-0.0982785082431949,0.0320571290139597,0.319335060578987,2.75426961397347,0.737806446964715
"44","lVisCent_ExStr_1",-1.95801812681571,-0.130280398318022,6.47034907746008e-05,0.0502278857177028,0.483400550326707,0.992718493782213
"45","lVisCent_ExStr_2",-1.74207232234672,-0.123121792675319,0.00724660965867429,0.0814957899644028,0.360858359242863,0.996339475472148
"46","lVisCent_ExStr_3",-4.63945380333241,-0.219489497745099,-0.0891169332574472,3.49331210699878e-06,2.68833959941605,0.747901258250068
"47","lVisCent_Striate_1",-3.50868639728729,-0.18186688227759,-0.0515047218333328,0.00045032555369662,2.05520407836974,0.841454990478831
"48","lVisPeri_ExStrInf_1",-2.6814427266376,-0.178754015754658,-0.0277862360393823,0.00733054614788191,4.68015703197189,0.456146586678175
"49","lVisPeri_ExStrSup_1",-3.96319147488666,-0.196964850994473,-0.0666140551006812,7.39544195823732e-05,1.87336054075722,0.86637584950931
"50","lVisPeri_StriCal_1",-4.25908854329326,-0.206815871897357,-0.0764578604363115,2.05262156959491e-05,2.00559552831703,0.848370247219866
"51","rContA_IPS_1",-2.32615504660142,-0.14252911510318,-0.0121771905201615,0.0200102808343438,2.46041343875146,0.782444725788609
"52","rContA_PFCl_1",-4.27651935367143,-0.207407273438728,-0.0770418851177714,1.89838060170507e-05,1.69610474428255,0.889390129518774
"53","rContA_PFCl_2",-3.66813076024493,-0.187181365382322,-0.0568108754163079,0.000244330226141674,1.26400455943174,0.938591630935269
"54","rContB_IPL_1",-2.89279202278063,-0.161378120120519,-0.0310211424147184,0.00381834042798519,0.840211873560692,0.974397918285187
"55","rContB_PFCld_1",-1.13231205837177,-0.103009968590989,0.0275707594457143,0.2575032623066,0.575955710821902,0.989077635527146
"56","rContB_PFClv_1",-3.84366614453494,-0.193006825711893,-0.0626448216721894,0.000121209873215722,1.97731903135309,0.852274400951017
"57","rContB_Temp_1",-3.09144548042461,-0.167971404806967,-0.0376244566382914,0.00199184556300189,2.60955462312674,0.759913030131546
"58","rContC_Cingp_1",-1.36432088242389,-0.110473570857357,0.0197945793097521,0.172466596363382,1.2118714370968,0.943733403231115
"59","rContC_pCun_1",-0.577413568733012,-0.0839134083603666,0.0457222132633589,0.563660110255932,0.961619921069086,0.965601610458611
"60","rDefaultA_IPL_1",-3.12658864464731,-0.169161704087004,-0.0387980288262925,0.00176847181083827,1.62761809783796,0.897889484293901
"61","rDefaultA_pCunPCC_1",-0.96697887228266,-0.0975640684404522,0.0330992684830876,0.333554595637082,0.830076312409252,0.975075448424423
"62","rDefaultA_PFCd_1",-3.32777122696624,-0.17583959629143,-0.0454853852721949,0.000875437248923826,2.77272113613108,0.734975560001293
"63","rDefaultA_PFCm_1",-4.31430737356822,-0.20865172526786,-0.0782940013199905,1.60104061559278e-05,3.63990012673686,0.602332596456315
"64","rDefaultB_PFCd_1",-3.34962652810824,-0.176585498146025,-0.046217170971338,0.000809205875503169,2.37105070594628,0.795777294018357
"65","rDefaultB_PFCv_1",-3.76584569956102,-0.190403560417329,-0.0600519973947625,0.000165986282483416,0.694512473541923,0.983268485513762
"66","rDefaultB_PFCv_2",-4.46921602947698,-0.213828165512321,-0.0834552400783782,7.8506809896371e-06,3.80506324557329,0.577809499366677
