MotionParameter,Scan,PC,Loadings
16.mean_eu_rel,NB,PC4,0.01
13.max_FD,NB,PC3,0.01
09.max_Y,RS,PC3,0.01
02.mean_rZ,FI,PC4,0.01
03.max_rY,RS,PC1,0.01
16.mean_eu_rel,NB,PC3,0.02
16.mean_eu_rel,RS,PC1,0.02
11.max_X,NB,PC2,0.02
16.mean_eu_rel,RS,PC5,0.02
05.max_rX,FI,PC2,0.02
05.max_rX,FI,PC3,0.02
04.mean_rY,NB,PC3,0.02
16.mean_eu_rel,FI,PC4,0.02
07.max_Z,NB,PC5,0.02
03.max_rY,FI,PC2,0.03
16.mean_eu_rel,FI,PC2,0.03
05.max_rX,RS,PC3,0.03
04.mean_rY,FI,PC2,0.03
02.mean_rZ,NB,PC2,0.03
13.max_FD,NB,PC4,0.03
01.max_rZ,NB,PC2,0.03
11.max_X,FI,PC4,0.03
14.mean_FD,NB,PC4,0.04
01.max_rZ,NB,PC1,0.04
04.mean_rY,FI,PC3,0.04
18.mean_eu,FI,PC4,0.04
09.max_Y,FI,PC5,0.04
03.max_rY,FI,PC3,0.04
08.mean_Z,RS,PC3,0.04
03.max_rY,RS,PC2,0.05
09.max_Y,NB,PC3,0.05
05.max_rX,FI,PC4,0.05
06.mean_rX,FI,PC2,0.05
10.mean_Y,RS,PC2,0.05
01.max_rZ,FI,PC4,0.05
05.max_rX,RS,PC1,0.05
11.max_X,RS,PC1,0.05
14.mean_FD,FI,PC4,0.05
12.mean_X,RS,PC1,0.06
02.mean_rZ,RS,PC4,0.06
14.mean_FD,RS,PC5,0.06
14.mean_FD,NB,PC3,0.06
07.max_Z,RS,PC3,0.06
10.mean_Y,NB,PC3,0.06
03.max_rY,NB,PC3,0.06
18.mean_eu,FI,PC5,0.06
01.max_rZ,RS,PC2,0.07
03.max_rY,NB,PC1,0.07
15.max_eu_rel,FI,PC4,0.07
14.mean_FD,FI,PC2,0.07
01.max_rZ,NB,PC4,0.07
10.mean_Y,FI,PC2,0.07
18.mean_eu,RS,PC4,0.07
15.max_eu_rel,RS,PC3,0.07
17.max_eu,FI,PC2,0.07
12.mean_X,NB,PC5,0.08
