Dataset,ROI,Analysis,Cohens_d,p_value,pFDR,T_values,SE,N
UNIBA2_NB,rContB_Temp_1,corrected,-0.159997879,0.033742886,0.068167446,-2.135859789,0.074910291,241
UNIBA2_NB,rContC_Cingp_1,standard,-0.099377859,0.15070303,0.198297498,-1.441734156,0.068929392,241
UNIBA2_NB,rContC_Cingp_1,corrected,-0.168699559,0.025262806,0.054902087,-2.251993985,0.074911194,241
UNIBA2_NB,rContC_pCun_1,standard,-0.093116303,0.178020636,0.226344046,-1.350901841,0.068928993,241
UNIBA2_NB,rContC_pCun_1,corrected,-0.080105918,0.285985454,0.336453476,-1.06944492,0.074904202,241
UNIBA2_NB,rDefaultA_IPL_1,standard,-0.10314428,0.135893273,0.184888807,-1.496370405,0.068929644,241
UNIBA2_NB,rDefaultA_IPL_1,corrected,-0.130974587,0.081709076,0.125706271,-1.74848154,0.074907618,241
UNIBA2_NB,rDefaultA_pCunPCC_1,standard,-0.187719202,0.00695189,0.029442189,-2.723025646,0.068937728,241
UNIBA2_NB,rDefaultA_pCunPCC_1,corrected,-0.219843144,0.00367807,0.019801686,-2.934472574,0.07491743,241
UNIBA2_NB,rDefaultA_PFCd_1,standard,-0.128168803,0.064220199,0.105631467,-1.859363233,0.068931557,241
UNIBA2_NB,rDefaultA_PFCd_1,corrected,-0.168585984,0.025360254,0.054902087,-2.250478217,0.074911182,241
UNIBA2_NB,rDefaultA_PFCm_1,standard,-0.217396303,0.001823503,0.01519586,-3.153338374,0.068941635,241
UNIBA2_NB,rDefaultA_PFCm_1,corrected,-0.222299398,0.003320772,0.01897584,-2.967245287,0.074917769,241
UNIBA2_NB,rDefaultB_PFCd_1,corrected,-0.162111288,0.019512841,0.050032926,-2.352011466,0.068924531,241
UNIBA2_NB,rDefaultB_PFCd_1,standard,-0.181148751,0.016375134,0.044643097,-2.417758337,0.074924259,241
UNIBA2_NB,rDefaultB_PFCv_1,standard,-0.224570242,0.001289963,0.013578559,-3.257348051,0.068942661,241
UNIBA2_NB,rDefaultB_PFCv_1,corrected,-0.223933841,0.00310096,0.018240942,-2.989052716,0.074917997,241
UNIBA2_NB,rDefaultB_PFCv_2,standard,-0.208492475,0.00276812,0.018240942,-3.024242094,0.068940405,241
UNIBA2_NB,rDefaultB_PFCv_2,corrected,-0.201069094,0.00780218,0.029442189,-2.68396459,0.074914958,241
UNIBA2_NB,rDefaultC_PHC_1,standard,-0.03486209,0.613478748,0.666824727,-0.505786327,0.068926517,241
UNIBA2_NB,rDefaultC_PHC_1,corrected,-0.038909084,0.603935865,0.660039197,-0.519462157,0.074902634,241
UNIBA2_NB,rDefaultC_Rsp_1,standard,-0.087053656,0.207852265,0.253478372,-1.262953506,0.068928631,241
